name,owner,url,description,stars,age_days,days_since_update,primary_language,merged_pull_requests,total_releases,total_issues,closed_issues,closed_issues_ratio,created_at,updated_at
gitignore,github,https://github.com/github/gitignore,A collection of useful .gitignore templates,168546,5388,0,Unknown,1713,0,0,0,0.0,2010-11-08T20:17:14Z,2025-08-10T17:33:38Z
the-art-of-command-line,jlevy,https://github.com/jlevy/the-art-of-command-line,"Master the command line, in one page",157733,3735,0,Unknown,317,0,258,136,0.5271317829457365,2015-05-20T15:11:03Z,2025-08-10T18:06:35Z
stable-diffusion-webui,AUTOMATIC1111,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,155418,1084,0,Python,1874,27,7826,5464,0.6981855353948377,2022-08-22T14:05:26Z,2025-08-10T18:36:03Z
JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,151182,2652,0,Java,1179,0,1103,1031,0.9347234814143246,2018-05-07T13:27:00Z,2025-08-10T15:27:31Z
ollama,ollama,https://github.com/ollama/ollama,"Get up and running with OpenAI gpt-oss, DeepSeek-R1, Gemma 3 and other models.",149790,775,0,Go,2435,141,7878,6126,0.7776085300837776,2023-06-26T19:39:32Z,2025-08-10T18:37:01Z
awesome-go,avelino,https://github.com/avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software",149553,4053,0,Go,3454,0,685,679,0.9912408759124087,2014-07-06T13:42:15Z,2025-08-10T18:36:48Z
transformers,huggingface,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",148139,2477,0,Python,16477,219,17739,16652,0.9387225886464852,2018-10-29T13:56:00Z,2025-08-10T18:32:55Z
javascript,airbnb,https://github.com/airbnb/javascript,JavaScript Style Guide,147252,4664,0,JavaScript,810,0,1362,1266,0.9295154185022027,2012-11-01T23:13:50Z,2025-08-10T17:10:43Z
Microsoft-Activation-Scripts,massgravel,https://github.com/massgravel/Microsoft-Activation-Scripts,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, KMS38, and Online KMS activation methods, along with advanced troubleshooting.",143996,2036,0,Batchfile,6,23,713,712,0.9985974754558204,2020-01-12T23:03:34Z,2025-08-10T18:24:57Z
youtube-dl,ytdl-org,https://github.com/ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites,136812,5397,0,Python,1642,341,26765,23122,0.8638894078087054,2010-10-31T14:35:07Z,2025-08-10T17:11:18Z
next.js,vercel,https://github.com/vercel/next.js,The React Framework,133708,3230,0,JavaScript,23466,1000,23315,20989,0.9002358996354278,2016-10-05T23:32:51Z,2025-08-10T18:23:59Z
awesome-chatgpt-prompts,f,https://github.com/f/awesome-chatgpt-prompts,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.,132286,979,0,JavaScript,171,0,0,0,0.0,2022-12-05T13:54:13Z,2025-08-10T18:07:28Z
go,golang,https://github.com/golang/go,The Go programming language,129325,4009,0,Go,1,0,67809,58638,0.8647524664867495,2014-08-19T04:33:40Z,2025-08-10T15:38:37Z
fucking-algorithm,labuladong,https://github.com/labuladong/fucking-algorithm,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. ",128866,1999,0,Markdown,238,1,916,913,0.9967248908296943,2020-02-19T09:01:23Z,2025-08-10T15:28:24Z
tech-interview-handbook,yangshun,https://github.com/yangshun/tech-interview-handbook,💯 Curated coding interview preparation materials for busy software engineers,128417,3323,0,TypeScript,481,0,115,74,0.6434782608695652,2016-07-05T05:00:48Z,2025-08-10T18:30:04Z
n8n,n8n-io,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",128415,2241,0,TypeScript,10457,374,4928,4349,0.8825081168831169,2019-06-22T09:24:21Z,2025-08-10T18:40:18Z
scrcpy,Genymobile,https://github.com/Genymobile/scrcpy,Display and control your Android device,126337,2819,0,C,113,47,5601,3158,0.5638278878771648,2017-11-21T18:00:27Z,2025-08-10T18:40:41Z
30-seconds-of-code,Chalarangelo,https://github.com/Chalarangelo/30-seconds-of-code,Coding articles to level up your development skills,124865,2811,0,JavaScript,826,12,300,300,1.0,2017-11-29T17:35:03Z,2025-08-10T16:38:45Z
HelloGitHub,521xueweihan,https://github.com/521xueweihan/HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",124499,3385,0,Python,16,57,2837,2627,0.925978145928798,2016-05-04T06:24:11Z,2025-08-10T18:24:31Z
react-native,facebook,https://github.com/facebook/react-native,A framework for building native applications using React,123354,3866,0,C++,930,408,27170,26519,0.9760397497239602,2015-01-09T18:10:16Z,2025-08-10T18:25:08Z
PowerToys,microsoft,https://github.com/microsoft/PowerToys,Windows system utilities to maximize productivity,122016,2293,0,C#,5596,116,34372,27474,0.7993133946235308,2019-05-01T17:44:02Z,2025-08-10T18:29:58Z
yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader,121917,1749,0,Python,2866,115,9692,8086,0.8342963268675196,2020-10-26T04:22:55Z,2025-08-10T18:11:50Z
electron,electron,https://github.com/electron/electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",117824,4503,0,C++,23183,1000,21017,20262,0.9640766998144359,2013-04-12T01:47:36Z,2025-08-10T16:34:19Z
kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management,116812,4082,0,Go,62213,751,47613,45725,0.9603469640644362,2014-06-06T22:56:04Z,2025-08-10T16:34:07Z
hello-algo,krahets,https://github.com/krahets/hello-algo,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version in translation",115290,1010,0,Java,945,9,270,258,0.9555555555555556,2022-11-04T11:08:34Z,2025-08-10T17:06:07Z
free-programming-books-zh_CN,justjavac,https://github.com/justjavac/free-programming-books-zh_CN,:books: 免费的计算机编程类中文书籍，欢迎投稿,114916,4297,0,Unknown,282,3,0,0,0.0,2013-11-04T01:59:19Z,2025-08-10T16:20:56Z
langchain,langchain-ai,https://github.com/langchain-ai/langchain,🦜🔗 Build context-aware reasoning applications,113233,1028,0,Jupyter Notebook,14381,944,8633,8422,0.9755589018881038,2022-10-17T02:58:36Z,2025-08-10T18:35:41Z
node,nodejs,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,112630,3909,0,JavaScript,10686,454,19419,17696,0.9112724651114887,2014-11-26T19:57:11Z,2025-08-10T18:13:27Z
d3,d3,https://github.com/d3/d3,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",111242,5431,0,Shell,493,194,2228,2220,0.9964093357271095,2010-09-27T17:22:42Z,2025-08-10T18:31:37Z
dify,langgenius,https://github.com/langgenius/dify,Production-ready platform for agentic workflow development.,110353,851,0,TypeScript,6871,139,12273,11583,0.9437790271327304,2023-04-12T07:40:24Z,2025-08-10T18:12:54Z
free-for-dev,ripienaar,https://github.com/ripienaar/free-for-dev,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev",109580,3797,0,HTML,2753,0,0,0,0.0,2015-03-18T21:06:26Z,2025-08-10T18:41:20Z
three.js,mrdoob,https://github.com/mrdoob/three.js,JavaScript 3D Library.,108026,5618,0,JavaScript,14342,171,13146,12704,0.9663776053552411,2010-03-23T18:58:01Z,2025-08-10T18:31:36Z
axios,axios,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js,107374,4009,0,JavaScript,998,97,4843,4426,0.9138963452405534,2014-08-18T22:30:27Z,2025-08-10T16:38:39Z
open-webui,open-webui,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",106093,673,0,JavaScript,2459,118,6022,5823,0.9669545001660578,2023-10-06T22:08:27Z,2025-08-10T18:38:10Z
rust,rust-lang,https://github.com/rust-lang/rust,Empowering everyone to build reliable and efficient software.,105650,5533,0,Rust,65346,140,59086,48434,0.8197204075415496,2010-06-16T20:39:03Z,2025-08-10T18:39:30Z
TypeScript,microsoft,https://github.com/microsoft/TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,105568,4072,0,TypeScript,14670,212,42394,36822,0.8685663065528141,2014-06-17T15:28:39Z,2025-08-10T18:38:27Z
excalidraw,excalidraw,https://github.com/excalidraw/excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams,105145,2047,0,TypeScript,3690,14,4223,2398,0.5678427658062989,2020-01-02T01:04:43Z,2025-08-10T17:27:44Z
nodebestpractices,goldbergyoni,https://github.com/goldbergyoni/nodebestpractices,:white_check_mark:  The Node.js best practices list (July 2024),103896,2886,0,Dockerfile,765,0,328,285,0.8689024390243902,2017-09-15T08:33:19Z,2025-08-10T16:32:05Z
